"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSMMUG00000014641"," ","ENSMMUG00000014641",NA,"IG_C_gene","Macaque","10",29.631421,"",55.65,1,7457,1047,1047,NA,NA,4
"ENSMMUG00000053065"," ","ENSMMUG00000053065",NA,"lncRNA","Macaque","1",155.663362,"",37.72,2,8896,NA,3989,NA,NA,3
"ENSMMUG00000053072"," ","ENSMMUG00000053072",NA,"lncRNA","Macaque","1",159.277925,"",42.92,1,9217,NA,2032,NA,NA,2
"ENSMMUG00000059265"," ","ENSMMUG00000059265",NA,"lncRNA","Macaque","2",176.568819,"",37.81,6,192900,NA,588,NA,NA,3
"ENSMMUG00000051022"," ","ENSMMUG00000051022",NA,"lncRNA","Macaque","2",192.125252,"",35.41,3,171195,NA,732,NA,NA,2
"ENSMMUG00000054109"," ","ENSMMUG00000054109",NA,"lncRNA","Macaque","3",101.18398,"",35.72,1,98234,NA,888,NA,NA,3
"ENSMMUG00000050075"," ","ENSMMUG00000050075",NA,"lncRNA","Macaque","4",109.673798,"",37.74,1,74146,NA,1735,NA,NA,2
"ENSMMUG00000060026"," ","ENSMMUG00000060026",NA,"lncRNA","Macaque","4",116.189959,"",39.97,2,44753,NA,1836,NA,NA,2
"ENSMMUG00000050626"," ","ENSMMUG00000050626",106997970,"lncRNA","Macaque","4",116.862544,"",43.08,1,4710,NA,4208,NA,NA,2
"ENSMMUG00000064472"," ","ENSMMUG00000064472",NA,"lncRNA","Macaque","5",141.670587,"",37.35,2,23751,NA,1293,NA,NA,2
"ENSMMUG00000053299"," ","ENSMMUG00000053299",NA,"lncRNA","Macaque","6",114.27773,"",40.01,1,95272,NA,425,NA,NA,4
"ENSMMUG00000039544"," ","ENSMMUG00000039544",NA,"lncRNA","Macaque","8",21.098896,"",51.74,1,4668,NA,578,NA,NA,3
"ENSMMUG00000062672"," ","ENSMMUG00000062672",NA,"lncRNA","Macaque","9",122.090411,"",46.09,1,28444,NA,438,NA,NA,4
"ENSMMUG00000052391"," ","ENSMMUG00000052391",NA,"lncRNA","Macaque","10",84.506132,"",46.08,1,2426,NA,1669,NA,NA,2
"ENSMMUG00000056391"," ","ENSMMUG00000056391",NA,"lncRNA","Macaque","11",95.969936,"",47.32,1,3117,NA,2887,NA,NA,2
"ENSMMUG00000055512"," ","ENSMMUG00000055512",NA,"lncRNA","Macaque","11",97.238631,"",35.93,1,27529,NA,210,NA,NA,3
"ENSMMUG00000059607"," ","ENSMMUG00000059607",NA,"lncRNA","Macaque","13",102.762904,"",43.55,3,68576,NA,2302,NA,NA,5
"ENSMMUG00000057391"," ","ENSMMUG00000057391",NA,"lncRNA","Macaque","14",29.210989,"",42,1,6498,NA,4103,NA,NA,2
"ENSMMUG00000059392"," ","ENSMMUG00000059392",NA,"lncRNA","Macaque","14",87.767588,"",71.84,1,1257,NA,1066,NA,NA,2
"ENSMMUG00000049389"," ","ENSMMUG00000049389",NA,"lncRNA","Macaque","18",14.692033,"",36.18,2,42315,NA,242,NA,NA,3
"ENSMMUG00000055353"," Metazoa_SRP","ENSMMUG00000055353",NA,"misc_RNA","Macaque","6",98.978282,"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]",52.33,1,300,NA,300,NA,NA,1
"ENSMMUG00000005072"," RPL5","ENSMMUG00000005072",706896,"protein_coding","Macaque","1",131.337571,"ribosomal protein L5 [Source:VGNC Symbol;Acc:VGNC:100065]",40.74,2,10492,819,1010,92,60,8
"ENSMMUG00000054856"," ","ENSMMUG00000054856",NA,"protein_coding","Macaque","1",131.793316,"",37.48,1,1681,663,1681,734,284,1
"ENSMMUG00000053737"," BARHL2","ENSMMUG00000053737",696831,"protein_coding","Macaque","1",133.742527,"BarH like homeobox 2 [Source:VGNC Symbol;Acc:VGNC:70227]",50.02,1,10316,1071,6474,797,4606,4
"ENSMMUG00000005990"," ST6GALNAC3","ENSMMUG00000005990",709779,"protein_coding","Macaque","1",147.757576,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:VGNC Symbol;Acc:VGNC:77967]",38.71,2,552438,918,918,NA,NA,5
"ENSMMUG00000005287"," LHX8","ENSMMUG00000005287",709153,"protein_coding","Macaque","1",149.255884,"LIM homeobox 8 [Source:VGNC Symbol;Acc:VGNC:74144]",38.85,3,30474,1032,1972,553,702,8
"ENSMMUG00000022908"," WLS","ENSMMUG00000022908",701411,"protein_coding","Macaque","1",156.188034,"Wnt ligand secretion mediator [Source:VGNC Symbol;Acc:VGNC:79839]",41.75,5,135612,1378,2591,474,1390,10
"ENSMMUG00000023775"," PLCL2","ENSMMUG00000023775",695590,"protein_coding","Macaque","2",30.595655,"phospholipase C like 2 [Source:VGNC Symbol;Acc:VGNC:76168]",38.6,4,244907,3206,3692,307,NA,6
"ENSMMUG00000022693"," OXNAD1","ENSMMUG00000022693",695203,"protein_coding","Macaque","2",31.368537,"oxidoreductase NAD binding domain containing 1 [Source:VGNC Symbol;Acc:VGNC:75676]",39.15,5,47329,896,2170,126,492,10
"ENSMMUG00000022519"," HACL1","ENSMMUG00000022519",694331,"protein_coding","Macaque","2",32.067023,"2-hydroxyacyl-CoA lyase 1 [Source:VGNC Symbol;Acc:VGNC:73187]",44.02,10,150323,1640,2150,174,549,16
"ENSMMUG00000021694"," AMOTL2","ENSMMUG00000021694",NA,"protein_coding","Macaque","2",36.568827,"angiomotin like 2 [Source:HGNC Symbol;Acc:HGNC:17812]",55.4,2,19399,2348,3380,114,1838,10
"ENSMMUG00000055871"," NCK1","ENSMMUG00000055871",716807,"protein_coding","Macaque","2",39.034831,"NCK adaptor protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:716807]",39.52,8,94743,1110,2043,76,707,5
"ENSMMUG00000002863"," TFG","ENSMMUG00000002863",700972,"protein_coding","Macaque","2",175.385809,"trafficking from ER to golgi regulator [Source:VGNC Symbol;Acc:VGNC:82715]",36.73,3,37768,1203,1943,86,545,8
"ENSMMUG00000002935"," COL8A1","ENSMMUG00000002935",100423514,"protein_coding","Macaque","2",176.318779,"collagen type VIII alpha 1 chain [Source:VGNC Symbol;Acc:VGNC:71304]",38.78,5,148960,2236,2501,88,1,4
"ENSMMUG00000009549"," CLDND1","ENSMMUG00000009549",698472,"protein_coding","Macaque","2",177.58435,"claudin domain containing 1 [Source:VGNC Symbol;Acc:VGNC:71169]",39.69,4,7562,840,1624,115,620,6
"ENSMMUG00000005977"," GABRR3","ENSMMUG00000005977",698660,"protein_coding","Macaque","2",177.896533,"gamma-aminobutyric acid type A receptor subunit rho3 [Source:VGNC Symbol;Acc:VGNC:84177]",39.08,2,58951,1059,5222,110,4052,6
"ENSMMUG00000000880"," SCIN","ENSMMUG00000000880",693551,"protein_coding","Macaque","3",102.405726,"scinderin [Source:VGNC Symbol;Acc:VGNC:81562]",38.47,1,85163,2148,3310,123,1039,16
