chromosome,start,context,cluster,methylation_diff,p_value,q_value,direction
chr1,73900000,mCH,c0,0.0256012826427501,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74000000,mCH,c0,0.0255801223608445,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74100000,mCH,c0,0.0255564559440544,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74200000,mCH,c0,0.0255303778885839,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74300000,mCH,c0,0.0255019599818333,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74400000,mCH,c0,0.0254712908563877,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74500000,mCH,c0,0.025438396157695,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74600000,mCH,c0,0.0254033100055208,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74700000,mCH,c0,0.0253661787592623,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74800000,mCH,c0,0.0253271793349051,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,74900000,mCH,c0,0.0252864937098706,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,75000000,mCH,c0,0.0252442525043238,0.0401678780820709,0.5981203220194612,Increased in Stressed
chr1,75100000,mCH,c0,0.0252005239035099,0.0401678780820709,0.5981203220194612,Increased in Stressed
chr1,75200000,mCH,c0,0.0250623342004164,0.0371753969838011,0.5981203220194612,Increased in Stressed
chr1,75300000,mCH,c0,0.0250159824266119,0.0371753969838011,0.5981203220194612,Increased in Stressed
chr1,75400000,mCH,c0,0.0249681484508594,0.0371753969838011,0.5981203220194612,Increased in Stressed
chr1,75500000,mCH,c0,0.0248294922282344,0.0371753969838011,0.5981203220194612,Increased in Stressed
chr1,75600000,mCH,c0,0.0246927719728511,0.0371753969838011,0.5981203220194612,Increased in Stressed
chr1,75700000,mCH,c0,0.0245581751615443,0.0371753969838011,0.5981203220194612,Increased in Stressed
chr1,75800000,mCH,c0,0.0244258080935098,0.0371753969838011,0.5981203220194612,Increased in Stressed
chr1,75900000,mCH,c0,0.0242957026661765,0.0401678780820709,0.5981203220194612,Increased in Stressed
chr1,76000000,mCH,c0,0.024167826398137,0.0401678780820709,0.5981203220194612,Increased in Stressed
chr1,76100000,mCH,c0,0.0241146179138285,0.0433622188594735,0.5981203220194612,Increased in Stressed
chr1,76200000,mCH,c0,0.024060048297159,0.0467685866914884,0.5981203220194612,Increased in Stressed
chr1,76300000,mCH,c0,0.0240040631503744,0.0467685866914884,0.5981203220194612,Increased in Stressed
