"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSMMUG00000062173"," ","ENSMMUG00000062173",NA,"lncRNA","Macaque","7",77.264965,"",44.23,1,18782,NA,669,NA,NA,3
"ENSMMUG00000055473"," ","ENSMMUG00000055473",NA,"lncRNA","Macaque","7",152.665087,"",51.9,1,8955,NA,1473,NA,NA,4
"ENSMMUG00000057799"," ","ENSMMUG00000057799",NA,"lncRNA","Macaque","8",92.752838,"",37.58,1,8175,NA,886,NA,NA,3
"ENSMMUG00000050739"," ","ENSMMUG00000050739",NA,"lncRNA","Macaque","19",18.561601,"",50.95,1,1531,NA,1218,NA,NA,2
"ENSMMUG00000052810"," ","ENSMMUG00000052810",NA,"lncRNA","Macaque","20",13.205815,"",41.97,1,14252,NA,1144,NA,NA,2
"ENSMMUG00000056397"," Metazoa_SRP","ENSMMUG00000056397",NA,"misc_RNA","Macaque","19",4.741945,"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]",66.22,1,148,NA,148,NA,NA,1
"ENSMMUG00000064443"," VHLL","ENSMMUG00000064443",NA,"protein_coding","Macaque","1",94.66639,"VHL like [Source:HGNC Symbol;Acc:HGNC:30666]",54.56,1,669,546,546,NA,NA,2
"ENSMMUG00000023146"," ASH1L","ENSMMUG00000023146",717778,"protein_coding","Macaque","1",95.310493,"ASH1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:19088]",43.41,8,365830,8820,9039,111,NA,28
"ENSMMUG00000006576"," PBXIP1","ENSMMUG00000006576",717036,"protein_coding","Macaque","1",96.076944,"PBX homeobox interacting protein 1 [Source:VGNC Symbol;Acc:VGNC:75663]",54.01,6,13104,2205,3013,78,1446,10
"ENSMMUG00000020209"," TCHHL1","ENSMMUG00000020209",NA,"protein_coding","Macaque","1",98.959823,"trichohyalin like 1 [Source:VGNC Symbol;Acc:VGNC:79914]",45.37,1,3791,2574,3791,920,297,1
"ENSMMUG00000000641"," DNAI4","ENSMMUG00000000641",699921,"protein_coding","Macaque","1",157.510747,"dynein axonemal intermediate chain 4 [Source:VGNC Symbol;Acc:VGNC:79593]",36.47,1,105874,2544,2544,NA,NA,18
"ENSMMUG00000003061"," CCDC80","ENSMMUG00000003061",708504,"protein_coding","Macaque","2",163.5384,"coiled-coil domain containing 80 [Source:VGNC Symbol;Acc:VGNC:70917]",40.08,2,36398,2853,3761,366,142,8
"ENSMMUG00000014232"," ATG3","ENSMMUG00000014232",708305,"protein_coding","Macaque","2",163.616403,"autophagy related 3 [Source:VGNC Symbol;Acc:VGNC:70105]",35.79,2,29781,924,2096,418,754,12
"ENSMMUG00000009998"," NECTIN3","ENSMMUG00000009998",706731,"protein_coding","Macaque","2",164.907103,"nectin cell adhesion molecule 3 [Source:VGNC Symbol;Acc:VGNC:83928]",36.9,3,181473,1643,2242,NA,898,8
"ENSMMUG00000013405"," ADAMTS5","ENSMMUG00000013405",707672,"protein_coding","Macaque","3",19.705184,"ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:VGNC Symbol;Acc:VGNC:69499]",39.47,1,43745,2793,3537,744,NA,8
"ENSMMUG00000012241"," CEP57L1","ENSMMUG00000012241",700109,"protein_coding","Macaque","4",12.783268,"centrosomal protein 57 like 1 [Source:VGNC Symbol;Acc:VGNC:71072]",35.97,2,57687,1380,2204,74,612,12
"ENSMMUG00000017261"," GALC","ENSMMUG00000017261",693322,"protein_coding","Macaque","7",150.048405,"galactosylceramidase [Source:VGNC Symbol;Acc:VGNC:72867]",36.37,2,56272,2046,2513,6,464,17
"ENSMMUG00000020687"," CCDC88C","ENSMMUG00000020687",701155,"protein_coding","Macaque","7",153.419952,"coiled-coil domain containing 88C [Source:VGNC Symbol;Acc:VGNC:84321]",51.56,2,147234,6075,6075,NA,NA,30
"ENSMMUG00000004027"," BTBD7","ENSMMUG00000004027",699127,"protein_coding","Macaque","7",155.3932,"BTB domain containing 7 [Source:VGNC Symbol;Acc:VGNC:107998]",40.71,5,105736,3167,4232,171,2491,8
"ENSMMUG00000052453"," SERPINA11","ENSMMUG00000052453",701483,"protein_coding","Macaque","7",156.611327,"serpin family A member 11 [Source:HGNC Symbol;Acc:HGNC:19193]",46.32,1,12443,1269,5361,3,4089,4
