chromosome,region_start,region_end,gene_id,gene_name,gene_start,gene_end,methylation_diff,p_value,q_value,direction
chr1,2100000,2200000,ENSMMUG00000016408,BRD1,2071569,2168210,-0.1007277300823241,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2200000,2300000,ENSMMUG00000049281,DGCR6L,2210611,2212349,-0.1003938005435063,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2200000,2300000,ENSMMUG00000053269,PKP2,2241048,2244266,-0.1003938005435063,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2200000,2300000,ENSMMUG00000022208,UTS2,2273724,2328297,-0.1003938005435063,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2300000,2400000,ENSMMUG00000022208,UTS2,2273724,2328297,-0.1000601349158212,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2300000,2400000,ENSMMUG00000056452,SERPINC1,2331451,2332947,-0.1000601349158212,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2300000,2400000,ENSMMUG00000060928,RC3H1,2358740,2361942,-0.1000601349158212,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2300000,2400000,ENSMMUG00000011380,SH3BP5L,2395777,2510336,-0.1000601349158212,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2400000,2500000,ENSMMUG00000011380,SH3BP5L,2395777,2510336,-0.0997266708174917,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2500000,2600000,ENSMMUG00000011380,SH3BP5L,2395777,2510336,-0.0993933500708073,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2500000,2600000,ENSMMUG00000055490,ZNF692,2510497,2540181,-0.0993933500708073,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2500000,2600000,ENSMMUG00000055003,SGIP1,2553780,2563292,-0.0993933500708073,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2500000,2600000,ENSMMUG00000005777,DYNLT5,2568684,3324607,-0.0993933500708073,0.0494416605603101,0.1832511986425376,Decreased in Stressed
chr1,2600000,2700000,ENSMMUG00000005777,DYNLT5,2568684,3324607,-0.0990601147099754,0.0452646040298907,0.1832511986425376,Decreased in Stressed
chr1,2700000,2800000,ENSMMUG00000005777,DYNLT5,2568684,3324607,-0.0987269024251067,0.0452646040298907,0.1832511986425376,Decreased in Stressed
chr1,2800000,2900000,ENSMMUG00000005777,DYNLT5,2568684,3324607,-0.0983936506074574,0.0452646040298907,0.1832511986425376,Decreased in Stressed
chr1,2900000,3000000,ENSMMUG00000005777,DYNLT5,2568684,3324607,-0.0980603011191794,0.0452646040298907,0.1832511986425376,Decreased in Stressed
chr1,3000000,3100000,ENSMMUG00000005777,DYNLT5,2568684,3324607,-0.0977268045457866,0.0413890617691391,0.1832511986425376,Decreased in Stressed
chr1,3100000,3200000,ENSMMUG00000005777,DYNLT5,2568684,3324607,-0.0973931142737853,0.0413890617691391,0.1832511986425376,Decreased in Stressed
chr1,3200000,3300000,ENSMMUG00000005777,DYNLT5,2568684,3324607,-0.0970591871226569,0.0377983014556208,0.1832511986425376,Decreased in Stressed
chr1,3300000,3400000,ENSMMUG00000005777,DYNLT5,2568684,3324607,-0.096724985390018,0.0377983014556208,0.1832511986425376,Decreased in Stressed
chr1,3300000,3400000,ENSMMUG00000017324,DNAI4,3386413,3939026,-0.096724985390018,0.0377983014556208,0.1832511986425376,Decreased in Stressed
chr1,3400000,3500000,ENSMMUG00000017324,DNAI4,3386413,3939026,-0.0963904724331424,0.0377983014556208,0.1832511986425376,Decreased in Stressed
chr1,3500000,3600000,ENSMMUG00000017324,DNAI4,3386413,3939026,-0.0960556142043401,0.0377983014556208,0.1832511986425376,Decreased in Stressed
chr1,3600000,3700000,ENSMMUG00000017324,DNAI4,3386413,3939026,-0.0957203771620965,0.0377983014556208,0.1832511986425376,Decreased in Stressed
chr1,3700000,3800000,ENSMMUG00000017324,DNAI4,3386413,3939026,-0.0953847366792884,0.0377983014556208,0.1832511986425376,Decreased in Stressed
chr1,3800000,3900000,ENSMMUG00000017324,DNAI4,3386413,3939026,-0.09504866707497,0.0344760525160003,0.1832511986425376,Decreased in Stressed
chr1,3900000,4000000,ENSMMUG00000017324,DNAI4,3386413,3939026,-0.0947121351230022,0.0344760525160003,0.1832511986425376,Decreased in Stressed
chr1,3900000,4000000,ENSMMUG00000027317,MIER1,3960447,3960611,-0.0947121351230022,0.0344760525160003,0.1832511986425376,Decreased in Stressed
chr1,3900000,4000000,ENSMMUG00000011424,CEP85,3964560,4127294,-0.0947121351230022,0.0344760525160003,0.1832511986425376,Decreased in Stressed
chr1,4000000,4100000,ENSMMUG00000011424,CEP85,3964560,4127294,-0.0943751044902686,0.0285744993112949,0.1832511986425376,Decreased in Stressed
chr1,4100000,4200000,ENSMMUG00000011424,CEP85,3964560,4127294,-0.0940375336730715,0.0259652214551352,0.1832511986425376,Decreased in Stressed
chr1,4100000,4200000,ENSMMUG00000053368,SLC35D1,4127061,4134266,-0.0940375336730715,0.0259652214551352,0.1832511986425376,Decreased in Stressed
chr1,4100000,4200000,ENSMMUG00000036090,C1H1orf141,4143825,4143925,-0.0940375336730715,0.0259652214551352,0.1832511986425376,Decreased in Stressed
chr1,4100000,4200000,ENSMMUG00000050136,IL23R,4146977,4147125,-0.0940375336730715,0.0259652214551352,0.1832511986425376,Decreased in Stressed
chr1,4100000,4200000,ENSMMUG00000060516,UBXN11,4162724,4170303,-0.0940375336730715,0.0259652214551352,0.1832511986425376,Decreased in Stressed
chr1,4200000,4300000,ENSMMUG00000021098,IL12RB2,4234744,4252527,-0.0936993774481891,0.0235645465920307,0.1832511986425376,Decreased in Stressed
chr1,4200000,4300000,ENSMMUG00000031175,SERBP1,4254576,4263278,-0.0936993774481891,0.0235645465920307,0.1832511986425376,Decreased in Stressed
chr1,4300000,4400000,ENSMMUG00000048085,STMN1,4329568,4337670,-0.093360588597596,0.0213588885742085,0.1832511986425376,Decreased in Stressed
chr1,4300000,4400000,ENSMMUG00000062648,PAFAH2,4363426,4364610,-0.093360588597596,0.0213588885742085,0.1832511986425376,Decreased in Stressed
chr1,4300000,4400000,ENSMMUG00000054073,GBP3,4381548,4382096,-0.093360588597596,0.0213588885742085,0.1832511986425376,Decreased in Stressed
chr1,4400000,4500000,ENSMMUG00000022310,GBP7,4401249,4464048,-0.0930211221094139,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4400000,4500000,ENSMMUG00000000021,FBXO28,4478524,4653134,-0.0930211221094139,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4500000,4600000,ENSMMUG00000000021,FBXO28,4478524,4653134,-0.0926809310528272,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4600000,4700000,ENSMMUG00000000021,FBXO28,4478524,4653134,-0.0923399693989329,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4600000,4700000,ENSMMUG00000000016,KCNG1,4663494,4707156,-0.0923399693989329,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4700000,4800000,ENSMMUG00000000016,KCNG1,4663494,4707156,-0.0919981944609967,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4700000,4800000,ENSMMUG00000000015,OR6Y1,4725777,4754700,-0.0919981944609967,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4700000,4800000,ENSMMUG00000058747,OR6P1,4768264,4773425,-0.0919981944609967,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4800000,4900000,ENSMMUG00000059503,SPTA1,4800034,4800346,-0.091655563853881,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4800000,4900000,ENSMMUG00000053405,OR6K2,4867731,4867848,-0.091655563853881,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4800000,4900000,ENSMMUG00000058339,SPATA2,4899459,4901412,-0.091655563853881,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4900000,5000000,ENSMMUG00000058339,SPATA2,4899459,4901412,-0.0913120354057962,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,4900000,5000000,ENSMMUG00000048772,RNF114,4985958,5011592,-0.0913120354057962,0.0193352412633589,0.1832511986425376,Decreased in Stressed
chr1,5000000,5100000,ENSMMUG00000048772,RNF114,4985958,5011592,-0.0909675719931449,0.0174811833874674,0.1832511986425376,Decreased in Stressed
chr1,5000000,5100000,ENSMMUG00000039543,TMEM183A,5015440,5015678,-0.0909675719931449,0.0174811833874674,0.1832511986425376,Decreased in Stressed
chr1,5000000,5100000,ENSMMUG00000053438,TRMU,5019550,5022217,-0.0909675719931449,0.0174811833874674,0.1832511986425376,Decreased in Stressed
chr1,5000000,5100000,ENSMMUG00000047935,CD53,5027848,5051360,-0.0909675719931449,0.0174811833874674,0.1832511986425376,Decreased in Stressed
chr1,5000000,5100000,ENSMMUG00000015664,LRIF1,5061718,5067900,-0.0909675719931449,0.0174811833874674,0.1832511986425376,Decreased in Stressed
chr1,5100000,5200000,ENSMMUG00000063991,,5121443,5123023,-0.0906221423983881,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5100000,5200000,ENSMMUG00000058567,AGRN,5131167,5132746,-0.0906221423983881,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5100000,5200000,ENSMMUG00000055600,,5174552,5177412,-0.0906221423983881,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5100000,5200000,ENSMMUG00000058282,TLR5,5199552,5202550,-0.0906221423983881,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5200000,5300000,ENSMMUG00000058282,TLR5,5199552,5202550,-0.0902757146197991,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5200000,5300000,ENSMMUG00000049847,RABGGTB,5224355,5225709,-0.0902757146197991,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5200000,5300000,ENSMMUG00000019995,MSH4,5268538,5626496,-0.0902757146197991,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5300000,5400000,ENSMMUG00000019995,MSH4,5268538,5626496,-0.0899282569186245,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5400000,5500000,ENSMMUG00000019995,MSH4,5268538,5626496,-0.0895797395755588,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5500000,5600000,ENSMMUG00000019995,MSH4,5268538,5626496,-0.0892301384452597,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5600000,5700000,ENSMMUG00000019995,MSH4,5268538,5626496,-0.0888794319237805,0.0174811833874674,0.1832511986425376,Decreased in Stressed
chr1,5600000,5700000,ENSMMUG00000019994,EP300,5629547,5879337,-0.0888794319237805,0.0174811833874674,0.1832511986425376,Decreased in Stressed
chr1,5700000,5800000,ENSMMUG00000019994,EP300,5629547,5879337,-0.0885275994170449,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5800000,5900000,ENSMMUG00000019994,EP300,5629547,5879337,-0.0881746253657805,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5800000,5900000,ENSMMUG00000019914,ATP9A,5880083,6009260,-0.0881746253657805,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,5900000,6000000,ENSMMUG00000019914,ATP9A,5880083,6009260,-0.0878204976449322,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,6000000,6100000,ENSMMUG00000019914,ATP9A,5880083,6009260,-0.0874651979940255,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,6000000,6100000,ENSMMUG00000059561,SLC35A3,6052430,6053284,-0.0874651979940255,0.0157848798612061,0.1832511986425376,Decreased in Stressed
chr1,6100000,6200000,ENSMMUG00000062759,C1H1orf94,6100042,6100412,-0.0871087050575093,0.0128211118999407,0.1832511986425376,Decreased in Stressed
chr1,6100000,6200000,ENSMMUG00000061742,TPX2,6143273,6143390,-0.0871087050575093,0.0128211118999407,0.1832511986425376,Decreased in Stressed
chr1,6300000,6400000,ENSMMUG00000053960,MYLK2,6360308,6360456,-0.0863920525027487,0.0128211118999407,0.1832511986425376,Decreased in Stressed
chr1,6500000,6600000,ENSMMUG00000004265,FOXS1,6565018,6980524,-0.0856704064667935,0.0092960005672308,0.1832511986425376,Decreased in Stressed
chr1,6600000,6700000,ENSMMUG00000004265,FOXS1,6565018,6980524,-0.0853076788786394,0.010360835244186,0.1832511986425376,Decreased in Stressed
chr1,6700000,6800000,ENSMMUG00000004265,FOXS1,6565018,6980524,-0.0849436635065336,0.010360835244186,0.1832511986425376,Decreased in Stressed
chr1,6800000,6900000,ENSMMUG00000004265,FOXS1,6565018,6980524,-0.084578351614082,0.010360835244186,0.1832511986425376,Decreased in Stressed
chr1,6900000,7000000,ENSMMUG00000004265,FOXS1,6565018,6980524,-0.084211738585784,0.010360835244186,0.1832511986425376,Decreased in Stressed
chr1,7000000,7100000,ENSMMUG00000035346,DUSP15,7049813,7049919,-0.0838438231533206,0.010360835244186,0.1832511986425376,Decreased in Stressed
chr1,7000000,7100000,ENSMMUG00000053723,TTLL9,7074445,7077267,-0.0838438231533206,0.010360835244186,0.1832511986425376,Decreased in Stressed
chr1,7100000,7200000,ENSMMUG00000060345,PLCB4,7119480,7120776,-0.0834746066919841,0.0115328763157137,0.1832511986425376,Decreased in Stressed
chr1,7100000,7200000,ENSMMUG00000008761,APOBEC3H,7179724,7224643,-0.0834746066919841,0.0115328763157137,0.1832511986425376,Decreased in Stressed
chr1,7200000,7300000,ENSMMUG00000008761,APOBEC3H,7179724,7224643,-0.0831040953570033,0.010360835244186,0.1832511986425376,Decreased in Stressed
chr1,7200000,7300000,ENSMMUG00000008763,MIA3,7274106,7430387,-0.0831040953570033,0.010360835244186,0.1832511986425376,Decreased in Stressed
chr1,7300000,7400000,ENSMMUG00000008763,MIA3,7274106,7430387,-0.0827322931483701,0.010360835244186,0.1832511986425376,Decreased in Stressed
chr1,7400000,7500000,ENSMMUG00000008763,MIA3,7274106,7430387,-0.0823591976165042,0.010360835244186,0.1832511986425376,Decreased in Stressed
