"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSMMUG00000054982"," ","ENSMMUG00000054982",NA,"lncRNA","Macaque","2",129.804255,"",39.52,4,195902,NA,1504,NA,NA,3
"ENSMMUG00000056627"," ","ENSMMUG00000056627",NA,"lncRNA","Macaque","5",95.79739,"",31.58,1,6210,NA,4154,NA,NA,2
"ENSMMUG00000054051"," ","ENSMMUG00000054051",NA,"lncRNA","Macaque","5",109.387247,"",38.03,1,17973,NA,642,NA,NA,3
"ENSMMUG00000050228"," ","ENSMMUG00000050228",NA,"lncRNA","Macaque","6",115.675711,"",33.04,1,19152,NA,1103,NA,NA,2
"ENSMMUG00000054187"," ","ENSMMUG00000054187",NA,"lncRNA","Macaque","6",117.492829,"",36.08,1,90202,NA,1045,NA,NA,2
"ENSMMUG00000052886"," ","ENSMMUG00000052886",NA,"lncRNA","Macaque","7",74.616776,"",38.34,1,77456,NA,1186,NA,NA,2
"ENSMMUG00000061709"," ","ENSMMUG00000061709",NA,"lncRNA","Macaque","7",81.451082,"",36.22,1,18126,NA,350,NA,NA,3
"ENSMMUG00000055268"," ","ENSMMUG00000055268",NA,"lncRNA","Macaque","8",37.626157,"",42.87,1,20734,NA,2607,NA,NA,2
"ENSMMUG00000055674"," ","ENSMMUG00000055674",NA,"lncRNA","Macaque","8",110.225924,"",35.33,3,208727,NA,371,NA,NA,3
"ENSMMUG00000050319"," ","ENSMMUG00000050319",NA,"lncRNA","Macaque","8",111.323476,"",35.91,2,3010,NA,2775,NA,NA,2
"ENSMMUG00000063824"," ","ENSMMUG00000063824",NA,"lncRNA","Macaque","8",111.608966,"",32.99,3,26000,NA,811,NA,NA,2
"ENSMMUG00000061375"," ","ENSMMUG00000061375",NA,"lncRNA","Macaque","13",68.200145,"",34.12,3,114657,NA,682,NA,NA,3
"ENSMMUG00000051753"," ","ENSMMUG00000051753",NA,"lncRNA","Macaque","13",99.040934,"",47.35,1,56347,NA,1097,NA,NA,2
"ENSMMUG00000052047"," ","ENSMMUG00000052047",NA,"lncRNA","Macaque","13",100.790364,"",43.39,3,35256,NA,231,NA,NA,3
"ENSMMUG00000060446"," ","ENSMMUG00000060446",NA,"lncRNA","Macaque","13",103.684064,"",38.74,1,29657,NA,904,NA,NA,5
"ENSMMUG00000060836"," ","ENSMMUG00000060836",NA,"lncRNA","Macaque","14",121.407526,"",50.35,1,2284,NA,1085,NA,NA,2
"ENSMMUG00000059958"," ","ENSMMUG00000059958",NA,"lncRNA","Macaque","14",123.787333,"",42.8,1,3250,NA,1050,NA,NA,2
"ENSMMUG00000055924"," ","ENSMMUG00000055924",NA,"lncRNA","Macaque","17",90.114413,"",46.33,1,1390,NA,1294,NA,NA,2
"ENSMMUG00000027032"," mml-mir-133b","ENSMMUG00000027032",100315196,"miRNA","Macaque","4",117.387334,"mml-mir-133b [Source:miRBase;Acc:MI0007622]",57.14,1,119,NA,119,NA,NA,1
"ENSMMUG00000058038"," Metazoa_SRP","ENSMMUG00000058038",NA,"misc_RNA","Macaque","4",57.287348,"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]",58.12,1,117,NA,117,NA,NA,1
"ENSMMUG00000059426"," Metazoa_SRP","ENSMMUG00000059426",NA,"misc_RNA","Macaque","6",114.51319,"Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]",59.83,1,117,NA,117,NA,NA,1
"ENSMMUG00000000634"," ZNF692","ENSMMUG00000000634",710010,"protein_coding","Macaque","1",0.071582,"zinc finger protein 692 [Source:VGNC Symbol;Acc:VGNC:100195]",55.91,3,11597,1558,2546,52,1384,11
"ENSMMUG00000050041"," OR2L5","ENSMMUG00000050041",697549,"protein_coding","Macaque","1",0.907326,"olfactory receptor family 2 subfamily L member 5 [Source:HGNC Symbol;Acc:HGNC:15011]",46.43,1,939,939,939,NA,NA,1
"ENSMMUG00000058602"," ","ENSMMUG00000058602",NA,"protein_coding","Macaque","1",1.766717,"",57,1,1035,1035,1035,NA,NA,1
"ENSMMUG00000031175"," COX20","ENSMMUG00000031175",704298,"protein_coding","Macaque","1",4.254577,"cytochrome c oxidase assembly factor COX20 [Source:VGNC Symbol;Acc:VGNC:71595]",38.65,2,8702,375,1060,69,1300,4
"ENSMMUG00000019914"," CEP170","ENSMMUG00000019914",705427,"protein_coding","Macaque","1",5.880084,"centrosomal protein 170 [Source:VGNC Symbol;Acc:VGNC:97751]",36.56,5,129177,4403,5906,74,1631,19
"ENSMMUG00000059561"," ","ENSMMUG00000059561",NA,"protein_coding","Macaque","1",6.052431,"",46.14,1,854,336,854,19,499,1
"ENSMMUG00000010474"," HMCN1","ENSMMUG00000010474",714026,"protein_coding","Macaque","1",42.966608,"hemicentin 1 [Source:VGNC Symbol;Acc:VGNC:73423]",35.99,1,452566,16908,16908,NA,NA,107
"ENSMMUG00000059986"," ","ENSMMUG00000059986",NA,"protein_coding","Macaque","1",45.279756,"",36.81,1,4463,402,4463,2964,1097,1
"ENSMMUG00000003486"," RGS1","ENSMMUG00000003486",712754,"protein_coding","Macaque","1",49.869514,"regulator of G protein signaling 1 [Source:VGNC Symbol;Acc:VGNC:76914]",34.64,2,4385,628,1062,80,353,6
"ENSMMUG00000049590"," RGS2","ENSMMUG00000049590",712617,"protein_coding","Macaque","1",50.104044,"regulator of G protein signaling 2 [Source:VGNC Symbol;Acc:VGNC:106484]",40.67,1,3246,636,1332,30,666,5
"ENSMMUG00000053063"," FOXL2","ENSMMUG00000053063",717906,"protein_coding","Macaque","2",41.107334,"forkhead box L2 [Source:HGNC Symbol;Acc:HGNC:1092]",72.68,1,1131,1131,1131,NA,NA,1
"ENSMMUG00000007821"," ABCB5","ENSMMUG00000007821",712883,"protein_coding","Macaque","3",94.297213,"ATP binding cassette subfamily B member 5 [Source:VGNC Symbol;Acc:VGNC:80321]",37.1,1,126698,3774,3774,NA,NA,27
"ENSMMUG00000022683"," MACC1","ENSMMUG00000022683",707470,"protein_coding","Macaque","3",94.804568,"MET transcriptional regulator MACC1 [Source:VGNC Symbol;Acc:VGNC:74404]",37.18,1,108340,2484,2658,87,NA,5
"ENSMMUG00000022130"," ","ENSMMUG00000022130",694067,"protein_coding","Macaque","3",102.636461,"",43.01,1,1460,585,1289,704,NA,2
"ENSMMUG00000017715"," TBC1D32","ENSMMUG00000017715",714447,"protein_coding","Macaque","4",24.514346,"TBC1 domain family member 32 [Source:VGNC Symbol;Acc:VGNC:78187]",35.66,5,319681,3840,5592,1,4378,33
"ENSMMUG00000051331"," GFRAL","ENSMMUG00000051331",714935,"protein_coding","Macaque","4",114.166026,"GDNF family receptor alpha like [Source:VGNC Symbol;Acc:VGNC:104386]",34.83,2,65018,1174,1174,NA,NA,9
"ENSMMUG00000047729"," ITPR3","ENSMMUG00000047729",718040,"protein_coding","Macaque","4",135.787948,"inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]",54.94,2,75528,8007,8007,NA,NA,58
"ENSMMUG00000000736"," SKIV2L","ENSMMUG00000000736",715987,"protein_coding","Macaque","4",137.523877,"Ski2 like RNA helicase [Source:VGNC Symbol;Acc:VGNC:77375]",54.84,2,13245,3615,5068,60,2787,27
"ENSMMUG00000011066"," EIF4E","ENSMMUG00000011066",706751,"protein_coding","Macaque","5",97.194454,"eukaryotic translation initiation factor 4E [Source:VGNC Symbol;Acc:VGNC:100221]",39.01,2,48886,699,1364,13,1318,8
"ENSMMUG00000038454"," H2AFZ","ENSMMUG00000038454",709326,"protein_coding","Macaque","5",98.311818,"H2A histone family, member Z [Source:NCBI gene (formerly Entrezgene);Acc:709326]",49.51,2,2236,387,651,153,375,5
"ENSMMUG00000011201"," UBE2D3","ENSMMUG00000011201",710772,"protein_coding","Macaque","5",101.193287,"ubiquitin conjugating enzyme E2 D3 [Source:VGNC Symbol;Acc:VGNC:82265]",38.29,4,74401,444,2214,141,2078,8
