chromosome,start,context,cluster,methylation_diff,p_value,q_value,direction
chr1,42000000,mCG,c2,0.0095115896159789,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,42700000,mCG,c2,0.0106389257524452,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,42800000,mCG,c2,0.0108015553369045,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,42900000,mCG,c2,0.0109635675276111,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,43000000,mCG,c2,0.011124521322261,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,43100000,mCG,c2,0.0112839408099121,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,43300000,mCG,c2,0.0115958272941665,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,43400000,mCG,c2,0.0117469903212887,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,130700000,mCG,c2,0.0104354582153278,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,130800000,mCG,c2,0.0104414091954596,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,130900000,mCG,c2,0.0104442517836669,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,131000000,mCG,c2,0.0104438323025084,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,131100000,mCG,c2,0.0104399624395217,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,131200000,mCG,c2,0.01043244169372,0.0361586106713543,0.5105964322190604,Increased in Stressed
chr1,131300000,mCG,c2,0.0104210301158813,0.0361586106713543,0.5105964322190604,Increased in Stressed
chr1,131400000,mCG,c2,0.0104054744132506,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,131500000,mCG,c2,0.0103856043114836,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,131600000,mCG,c2,0.0103612752838542,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,131700000,mCG,c2,0.0103323831636672,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,131800000,mCG,c2,0.0102988811064486,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,131900000,mCG,c2,0.0102607178250664,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,132000000,mCG,c2,0.0102178279811298,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,132100000,mCG,c2,0.0101701837121457,0.0361586106713543,0.5105964322190604,Increased in Stressed
chr1,132200000,mCG,c2,0.0101178160690247,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,132300000,mCG,c2,0.0100607894112285,0.0361586106713543,0.5105964322190604,Increased in Stressed
chr1,132400000,mCG,c2,0.0099991266699697,0.0411020596927643,0.5162305350821093,Increased in Stressed
