chromosome,region_start,region_end,gene_id,gene_name,gene_start,gene_end,methylation_diff,p_value,q_value,direction,Unnamed: 0,genebody,Methylation Difference,p-value,q-value
chr1,94600000,94700000,ENSMMUG00000064443,GOLPH3L,94666389,94667058,-0.0351434260790383,0.0317128149212107,0.9927510290040564,Decreased in Stressed,1042,ENSMMUG00000064443,-0.44317752,0.0108075483502099,0.9960791516954456
chr1,95300000,95400000,ENSMMUG00000023146,UBAP2L,95310492,95676322,-0.0355058944904208,0.0317128149212107,0.9927510290040564,Decreased in Stressed,1056,ENSMMUG00000023146,0.30171323,0.0411020596927643,0.9960791516954456
chr1,95400000,95500000,ENSMMUG00000023146,UBAP2L,95310492,95676322,-0.0355285472689093,0.0361586106713543,0.9927510290040564,Decreased in Stressed,1056,ENSMMUG00000023146,0.30171323,0.0411020596927643,0.9960791516954456
chr1,95500000,95600000,ENSMMUG00000023146,UBAP2L,95310492,95676322,-0.035543069939677,0.0361586106713543,0.9927510290040564,Decreased in Stressed,1056,ENSMMUG00000023146,0.30171323,0.0411020596927643,0.9960791516954456
chr1,95600000,95700000,ENSMMUG00000023146,UBAP2L,95310492,95676322,-0.0355493106990427,0.0361586106713543,0.9927510290040564,Decreased in Stressed,1056,ENSMMUG00000023146,0.30171323,0.0411020596927643,0.9960791516954456
chr1,96000000,96100000,ENSMMUG00000006576,MCRS1,96076943,96090047,-0.0354935661400117,0.0277185416615701,0.9927510290040564,Decreased in Stressed,1083,ENSMMUG00000006576,0.48978686,0.0358659770401474,0.9960791516954456
chr1,98900000,99000000,ENSMMUG00000020209,CDH4,98959822,98963613,-0.0323219897136259,0.0361586106713543,0.9927510290040564,Decreased in Stressed,1171,ENSMMUG00000020209,-0.9169462,0.0257604114642586,0.9960791516954456
chr1,157600000,157700000,ENSMMUG00000000641,FCN3,157510746,157616620,0.0351401870108483,0.0465701880994234,0.9927510290040564,Increased in Stressed,1762,ENSMMUG00000000641,0.25366914,0.0465701880994234,0.9960791516954456
chr10,62700000,62800000,ENSMMUG00000018921,,62700913,62702725,-0.0443401334179623,0.0241496967134148,0.5072840379481177,Decreased in Stressed,3540,ENSMMUG00000018921,-0.27392662,0.009516087197894,0.9960791516954456
chr10,63200000,63300000,ENSMMUG00000063520,ZNF691,63294729,63314587,-0.045395414859666,0.0317128149212107,0.5072840379481177,Decreased in Stressed,3551,ENSMMUG00000063520,0.8840921,0.0411020596927643,0.9960791516954456
chr10,63300000,63400000,ENSMMUG00000063520,ZNF691,63294729,63314587,-0.045658807727606,0.0361586106713543,0.5072840379481177,Decreased in Stressed,3551,ENSMMUG00000063520,0.8840921,0.0411020596927643,0.9960791516954456
chr10,63600000,63700000,ENSMMUG00000005204,Metazoa_SRP,63636539,63681496,-0.0465740414699219,0.0361586106713543,0.5072840379481177,Decreased in Stressed,3561,ENSMMUG00000005204,0.6020662,0.0277185416615701,0.9960791516954456
chr10,66800000,66900000,ENSMMUG00000004403,COL24A1,66852362,66853477,-0.0577256398442593,0.0277185416615701,0.5072840379481177,Decreased in Stressed,3629,ENSMMUG00000004403,-0.30188024,0.0193537975567927,0.9960791516954456
chr10,67100000,67200000,ENSMMUG00000051112,,67186471,67195907,-0.0600288138850666,0.0361586106713543,0.5072840379481177,Decreased in Stressed,3637,ENSMMUG00000051112,-0.5779361,0.0280886775653176,0.9960791516954456
chr10,67200000,67300000,ENSMMUG00000031238,FCRLB,67252809,67273908,-0.0607848862986737,0.0361586106713543,0.5072840379481177,Decreased in Stressed,3639,ENSMMUG00000031238,0.32952595,0.0181377842547257,0.9960791516954456
chr10,69700000,69800000,ENSMMUG00000031253,CKS1B,69717259,69738233,-0.0660108433410677,0.0465701880994234,0.5352766198415663,Decreased in Stressed,3680,ENSMMUG00000031253,0.5034754,0.0156313451665775,0.9960791516954456
chr10,70500000,70600000,ENSMMUG00000010403,,70512607,70622905,-0.0615972674178866,0.0361586106713543,0.5072840379481177,Decreased in Stressed,3696,ENSMMUG00000010403,0.5022309,0.0070081509361869,0.9960791516954456
chr10,70600000,70700000,ENSMMUG00000010403,,70512607,70622905,-0.0608262745940396,0.0361586106713543,0.5072840379481177,Decreased in Stressed,3696,ENSMMUG00000010403,0.5022309,0.0070081509361869,0.9960791516954456
chr14,8700000,8800000,ENSMMUG00000038363,,8785512,8789148,-0.0592505540877135,0.0465701880994234,0.7049628500041322,Decreased in Stressed,7750,ENSMMUG00000038363,-0.22850543,0.0261047593438659,0.9960791516954456
chr14,9400000,9500000,ENSMMUG00000018767,,9450592,9454919,-0.0523853285806207,0.0465701880994234,0.7049628500041322,Decreased in Stressed,7787,ENSMMUG00000018767,-0.99710476,0.0047241534395215,0.9960791516954456
chr15,41100000,41200000,ENSMMUG00000016675,KRTDAP,41145572,41306865,0.1325779130299202,0.0361586106713543,0.3239576338197759,Increased in Stressed,9511,ENSMMUG00000016675,-0.37032795,0.0411020596927643,0.9960791516954456
chr15,41200000,41300000,ENSMMUG00000016675,KRTDAP,41145572,41306865,0.1320056690110433,0.0361586106713543,0.3239576338197759,Increased in Stressed,9511,ENSMMUG00000016675,-0.37032795,0.0411020596927643,0.9960791516954456
chr15,41300000,41400000,ENSMMUG00000016675,KRTDAP,41145572,41306865,0.1313521163670714,0.0361586106713543,0.3239576338197759,Increased in Stressed,9511,ENSMMUG00000016675,-0.37032795,0.0411020596927643,0.9960791516954456
chr17,23400000,23500000,ENSMMUG00000016609,U6,23481350,23534778,-0.0494788654018607,0.0317128149212107,0.7849435579216757,Decreased in Stressed,11709,ENSMMUG00000016609,0.6218685,0.0465701880994234,0.9960791516954456
chr17,23500000,23600000,ENSMMUG00000016609,U6,23481350,23534778,-0.0492767581566493,0.0277185416615701,0.7849435579216757,Decreased in Stressed,11709,ENSMMUG00000016609,0.6218685,0.0465701880994234,0.9960791516954456
chr17,24600000,24700000,ENSMMUG00000017033,SNORA70,24630111,24717107,-0.0399329776804014,0.0317128149212107,0.7849435579216757,Decreased in Stressed,11725,ENSMMUG00000017033,-0.29245174,0.0411020596927643,0.9960791516954456
chr17,24700000,24800000,ENSMMUG00000017033,SNORA70,24630111,24717107,-0.038667620771481,0.0317128149212107,0.7849435579216757,Decreased in Stressed,11725,ENSMMUG00000017033,-0.29245174,0.0411020596927643,0.9960791516954456
chr18,37300000,37400000,ENSMMUG00000004997,Metazoa_SRP,37376700,37753831,0.0925343822062929,0.0465701880994234,0.6518528022149094,Increased in Stressed,12339,ENSMMUG00000004997,-0.14133513,0.0411020596927643,0.9960791516954456
chr18,37500000,37600000,ENSMMUG00000004997,Metazoa_SRP,37376700,37753831,0.0888728951812685,0.0465701880994234,0.6518528022149094,Increased in Stressed,12339,ENSMMUG00000004997,-0.14133513,0.0411020596927643,0.9960791516954456
chr18,44900000,45000000,ENSMMUG00000006866,,44994149,45314053,0.0763106609508926,0.0181377842547257,0.6518528022149094,Increased in Stressed,12367,ENSMMUG00000006866,-0.17650849,0.0465701880994234,0.9960791516954456
chr18,45000000,45100000,ENSMMUG00000006866,,44994149,45314053,0.0778928785093754,0.0241496967134148,0.6518528022149094,Increased in Stressed,12367,ENSMMUG00000006866,-0.17650849,0.0465701880994234,0.9960791516954456
chr18,45100000,45200000,ENSMMUG00000006866,,44994149,45314053,0.0795308919534066,0.0277185416615701,0.6518528022149094,Increased in Stressed,12367,ENSMMUG00000006866,-0.17650849,0.0465701880994234,0.9960791516954456
chr18,45200000,45300000,ENSMMUG00000006866,,44994149,45314053,0.0812227541969182,0.0317128149212107,0.6518528022149094,Increased in Stressed,12367,ENSMMUG00000006866,-0.17650849,0.0465701880994234,0.9960791516954456
chr18,45300000,45400000,ENSMMUG00000006866,,44994149,45314053,0.0829494191341826,0.0361586106713543,0.6518528022149094,Increased in Stressed,12367,ENSMMUG00000006866,-0.17650849,0.0465701880994234,0.9960791516954456
chr19,4700000,4800000,ENSMMUG00000056397,APOC2,4741944,4742092,-0.0742460096143355,0.0465701880994234,0.5000820844081033,Decreased in Stressed,12744,ENSMMUG00000056397,0.079903245,0.0228265858272964,0.9960791516954456
chr19,4900000,5000000,ENSMMUG00000012677,,4906111,5088577,-0.0791319629459728,0.0317128149212107,0.4308301929540091,Decreased in Stressed,12750,ENSMMUG00000012677,0.50837004,0.0058916928482145,0.9960791516954456
chr19,5000000,5100000,ENSMMUG00000012677,,4906111,5088577,-0.0814238484389942,0.0317128149212107,0.4308301929540091,Decreased in Stressed,12750,ENSMMUG00000012677,0.50837004,0.0058916928482145,0.9960791516954456
chr19,5100000,5200000,ENSMMUG00000011962,,5138754,5273622,-0.0836011940314644,0.0209643430033235,0.3958776334742198,Decreased in Stressed,12754,ENSMMUG00000011962,0.3994236,0.004932265801831,0.9960791516954456
chr19,5200000,5300000,ENSMMUG00000011962,,5138754,5273622,-0.0855888221241287,0.0156313451665775,0.3958776334742198,Decreased in Stressed,12754,ENSMMUG00000011962,0.3994236,0.004932265801831,0.9960791516954456
chr19,16900000,17000000,ENSMMUG00000000194,IDNK,16992406,17018392,-0.0757039594894617,0.0209643430033235,0.3958776334742198,Decreased in Stressed,13093,ENSMMUG00000000194,0.55320704,0.0411020596927643,0.9960791516954456
chr19,17000000,17100000,ENSMMUG00000000194,IDNK,16992406,17018392,-0.0757478143114501,0.0209643430033235,0.3958776334742198,Decreased in Stressed,13093,ENSMMUG00000000194,0.55320704,0.0411020596927643,0.9960791516954456
chr19,17600000,17700000,ENSMMUG00000003162,RALBP1,17678969,17694779,-0.0699881783655808,0.0241496967134148,0.3958776334742198,Decreased in Stressed,13116,ENSMMUG00000003162,1.1636587,0.0361586106713543,0.9960791516954456
chr19,17800000,17900000,ENSMMUG00000050519,,17835976,17836842,-0.066660480107505,0.0181377842547257,0.3958776334742198,Decreased in Stressed,13125,ENSMMUG00000050519,-0.2801956,0.0270484498365793,0.9960791516954456
chr19,18400000,18500000,ENSMMUG00000023286,,18401532,18437919,-0.0579613901804398,0.0134235912346856,0.3958776334742198,Decreased in Stressed,13144,ENSMMUG00000023286,0.38075197,0.0411020596927643,0.9960791516954456
chr19,18500000,18600000,ENSMMUG00000050739,POMP,18561600,18563131,-0.0561263817138928,0.0209643430033235,0.3958776334742198,Decreased in Stressed,13151,ENSMMUG00000050739,-0.36826646,0.0035371341603312,0.9960791516954456
chr19,18600000,18700000,ENSMMUG00000019669,,18645844,18739557,-0.0539032569135469,0.0209643430033235,0.3958776334742198,Decreased in Stressed,13154,ENSMMUG00000019669,-0.54278564,0.0134235912346856,0.9960791516954456
chr19,18700000,18800000,ENSMMUG00000019669,,18645844,18739557,-0.0512169518465032,0.0156313451665775,0.3958776334742198,Decreased in Stressed,13154,ENSMMUG00000019669,-0.54278564,0.0134235912346856,0.9960791516954456
chr2,163500000,163600000,ENSMMUG00000003061,STAB1,163538399,163574797,0.0562996848354114,0.0317128149212107,0.9798935894717916,Increased in Stressed,15453,ENSMMUG00000003061,0.23325118,0.0277185416615701,0.9960791516954456
chr2,163600000,163700000,ENSMMUG00000014232,PBRM1,163616402,163646183,0.0561555944594412,0.0317128149212107,0.9798935894717916,Increased in Stressed,15455,ENSMMUG00000014232,-0.5442899,0.0411020596927643,0.9960791516954456
chr2,164900000,165000000,ENSMMUG00000009998,ERICH6,164907102,165088575,0.0524671914086833,0.0209643430033235,0.9798935894717916,Increased in Stressed,15466,ENSMMUG00000009998,-0.285635,0.0411020596927643,0.9960791516954456
chr2,165000000,165100000,ENSMMUG00000009998,ERICH6,164907102,165088575,0.0520474031282016,0.0209643430033235,0.9798935894717916,Increased in Stressed,15466,ENSMMUG00000009998,-0.285635,0.0411020596927643,0.9960791516954456
chr20,12800000,12900000,ENSMMUG00000013837,SP4,12847689,13186117,0.0729296509724619,0.0465701880994234,0.4126747669288899,Increased in Stressed,15885,ENSMMUG00000013837,-0.38392806,0.004932265801831,0.9960791516954456
chr20,12900000,13000000,ENSMMUG00000013837,SP4,12847689,13186117,0.0733730716181826,0.0411020596927643,0.4126747669288899,Increased in Stressed,15885,ENSMMUG00000013837,-0.38392806,0.004932265801831,0.9960791516954456
chr20,13000000,13100000,ENSMMUG00000013837,SP4,12847689,13186117,0.0739189342496424,0.0465701880994234,0.4126747669288899,Increased in Stressed,15885,ENSMMUG00000013837,-0.38392806,0.004932265801831,0.9960791516954456
chr20,13200000,13300000,ENSMMUG00000052810,AMOTL2,13205814,13220066,0.0754136473898561,0.0465701880994234,0.4126747669288899,Increased in Stressed,15886,ENSMMUG00000052810,-0.9234432,0.0361586106713543,0.9960791516954456
chr20,14600000,14700000,ENSMMUG00000008264,ESRP2,14615696,14658290,0.0879516792964389,0.0465701880994234,0.4126747669288899,Increased in Stressed,15900,ENSMMUG00000008264,0.5833752,0.0361586106713543,0.9960791516954456
chr3,19700000,19800000,ENSMMUG00000013405,DCUN1D3,19705183,19748928,0.0741607823255445,0.0241496967134148,0.9973154284305868,Increased in Stressed,16856,ENSMMUG00000013405,-0.35382575,0.0277185416615701,0.9960791516954456
chr4,12700000,12800000,ENSMMUG00000012241,,12783267,12840954,-0.064409691020124,0.0465701880994234,0.5730777313468727,Decreased in Stressed,18400,ENSMMUG00000012241,0.51009107,0.0209643430033235,0.9960791516954456
chr4,12800000,12900000,ENSMMUG00000012241,,12783267,12840954,-0.0638347000400684,0.0465701880994234,0.5730777313468727,Decreased in Stressed,18400,ENSMMUG00000012241,0.51009107,0.0209643430033235,0.9960791516954456
