chromosome,region_start,region_end,gene_id,gene_name,gene_start,gene_end,methylation_diff,p_value,q_value,direction,Unnamed: 0,genebody,Methylation Difference,p-value,q-value
chr1,2100000,2200000,ENSMMUG00000016408,BRD1,2071569,2168210,-0.1007277300823241,0.0494416605603101,0.1832511986425376,Decreased in Stressed,66,ENSMMUG00000016408,0.3219999,0.0235645465920307,0.8886127685507895
chr1,4600000,4700000,ENSMMUG00000000016,KCNG1,4663494,4707156,-0.0923399693989329,0.0193352412633589,0.1832511986425376,Decreased in Stressed,90,ENSMMUG00000000016,0.7056643,0.0377983014556208,0.8886127685507895
chr1,4700000,4800000,ENSMMUG00000000016,KCNG1,4663494,4707156,-0.0919981944609967,0.0193352412633589,0.1832511986425376,Decreased in Stressed,90,ENSMMUG00000000016,0.7056643,0.0377983014556208,0.8886127685507895
chr1,6100000,6200000,ENSMMUG00000062759,C1H1orf94,6100042,6100412,-0.0871087050575093,0.0128211118999407,0.1832511986425376,Decreased in Stressed,110,ENSMMUG00000062759,0.3016824,0.0138441251165802,0.8886127685507895
chr1,11100000,11200000,ENSMMUG00000002105,IPO8,11168445,11176372,-0.0683145160672734,0.0235645465920307,0.1832511986425376,Decreased in Stressed,134,ENSMMUG00000002105,-0.31151366,0.0452646040298907,0.8886127685507895
chr1,11200000,11300000,ENSMMUG00000001060,ODF2L,11228939,12011887,-0.0679101948058605,0.0213588885742085,0.1832511986425376,Decreased in Stressed,135,ENSMMUG00000001060,0.19725537,0.0174811833874674,0.8886127685507895
chr1,11300000,11400000,ENSMMUG00000001060,ODF2L,11228939,12011887,-0.0675102326193909,0.0213588885742085,0.1832511986425376,Decreased in Stressed,135,ENSMMUG00000001060,0.19725537,0.0174811833874674,0.8886127685507895
chr1,11400000,11500000,ENSMMUG00000001060,ODF2L,11228939,12011887,-0.0671148231410944,0.0213588885742085,0.1832511986425376,Decreased in Stressed,135,ENSMMUG00000001060,0.19725537,0.0174811833874674,0.8886127685507895
chr1,11500000,11600000,ENSMMUG00000001060,ODF2L,11228939,12011887,-0.0667239819142563,0.0213588885742085,0.1832511986425376,Decreased in Stressed,135,ENSMMUG00000001060,0.19725537,0.0174811833874674,0.8886127685507895
chr1,11600000,11700000,ENSMMUG00000001060,ODF2L,11228939,12011887,-0.0663376645740786,0.0235645465920307,0.1832511986425376,Decreased in Stressed,135,ENSMMUG00000001060,0.19725537,0.0174811833874674,0.8886127685507895
chr1,11700000,11800000,ENSMMUG00000001060,ODF2L,11228939,12011887,-0.0659558204098749,0.0213588885742085,0.1832511986425376,Decreased in Stressed,135,ENSMMUG00000001060,0.19725537,0.0174811833874674,0.8886127685507895
chr1,11800000,11900000,ENSMMUG00000001060,ODF2L,11228939,12011887,-0.0655783517072533,0.0213588885742085,0.1832511986425376,Decreased in Stressed,135,ENSMMUG00000001060,0.19725537,0.0174811833874674,0.8886127685507895
chr1,11900000,12000000,ENSMMUG00000001060,ODF2L,11228939,12011887,-0.0652051528568941,0.0213588885742085,0.1832511986425376,Decreased in Stressed,135,ENSMMUG00000001060,0.19725537,0.0174811833874674,0.8886127685507895
chr1,12000000,12100000,ENSMMUG00000001060,ODF2L,11228939,12011887,-0.064836132388345,0.0235645465920307,0.1832511986425376,Decreased in Stressed,135,ENSMMUG00000001060,0.19725537,0.0174811833874674,0.8886127685507895
chr1,14600000,14700000,ENSMMUG00000052207,XRCC6,14685734,14686651,-0.0561443718625414,0.0377983014556208,0.1832511986425376,Decreased in Stressed,170,ENSMMUG00000052207,0.256509,0.0074142408704757,0.8886127685507895
chr1,96700000,96800000,ENSMMUG00000062980,MFSD2A,96755331,96755447,-0.0522797917111276,0.0494416605603101,0.1832511986425376,Decreased in Stressed,1095,ENSMMUG00000062980,-0.1123597,0.040638991962418,0.8886127685507895
chr1,97200000,97300000,ENSMMUG00000019487,,97284760,97289691,-0.0513931486109977,0.0494416605603101,0.1832511986425376,Decreased in Stressed,1112,ENSMMUG00000019487,0.4177341,0.0183780108790949,0.8886127685507895
chr1,97300000,97400000,ENSMMUG00000047025,IFI6,97361375,97361674,-0.0512012473413443,0.0494416605603101,0.1832511986425376,Decreased in Stressed,1115,ENSMMUG00000047025,-0.112396896,0.0482766071360131,0.8886127685507895
chr1,97400000,97500000,ENSMMUG00000045106,DMAP1,97448629,97454825,-0.0510053097035526,0.0452646040298907,0.1832511986425376,Decreased in Stressed,1122,ENSMMUG00000045106,-0.22556925,0.0314065376447479,0.8886127685507895
chr1,97600000,97700000,ENSMMUG00000004833,CCDC91,97617147,97618625,-0.0506027829147474,0.0377983014556208,0.1832511986425376,Decreased in Stressed,1130,ENSMMUG00000004833,-0.28394723,0.0144985183054268,0.8886127685507895
chr1,98300000,98400000,ENSMMUG00000055266,LINGO4,98301452,98301809,-0.0494615606020211,0.0344760525160003,0.1832511986425376,Decreased in Stressed,1155,ENSMMUG00000055266,-0.10035479,0.0482766071360131,0.8886127685507895
chr1,98300000,98400000,ENSMMUG00000001966,ZCCHC17,98352733,98353564,-0.0494615606020211,0.0344760525160003,0.1832511986425376,Decreased in Stressed,1157,ENSMMUG00000001966,-0.34460425,0.041346435653008,0.8886127685507895
chr1,98400000,98500000,ENSMMUG00000050804,MLF2,98490523,98491084,-0.0493456344764363,0.0377983014556208,0.1832511986425376,Decreased in Stressed,1161,ENSMMUG00000050804,-0.28314888,0.0471354645733018,0.8886127685507895
chr1,98700000,98800000,ENSMMUG00000064774,UBE2V1,98740789,98752531,-0.0489432527078761,0.0413890617691391,0.1832511986425376,Decreased in Stressed,1167,ENSMMUG00000064774,0.9983348,0.0377822856462927,0.8886127685507895
chr1,99600000,99700000,ENSMMUG00000020924,LRRIQ3,99699614,99705933,-0.0465813551862684,0.0413890617691391,0.1832511986425376,Decreased in Stressed,1191,ENSMMUG00000020924,0.3607469,0.0472958860660691,0.8886127685507895
chr1,99700000,99800000,ENSMMUG00000020924,LRRIQ3,99699614,99705933,-0.046324402667117,0.0413890617691391,0.1832511986425376,Decreased in Stressed,1191,ENSMMUG00000020924,0.3607469,0.0472958860660691,0.8886127685507895
chr1,99700000,99800000,ENSMMUG00000045396,FAM227A,99734143,99742845,-0.046324402667117,0.0413890617691391,0.1832511986425376,Decreased in Stressed,1192,ENSMMUG00000045396,-0.34947395,0.02134803393296,0.8886127685507895
chr1,99900000,100000000,ENSMMUG00000007903,MANBAL,99936785,99940763,-0.0458187279874819,0.0452646040298907,0.1832511986425376,Decreased in Stressed,1200,ENSMMUG00000007903,-1.0724705,0.0493656324946074,0.8886127685507895
chr1,126000000,126100000,ENSMMUG00000049494,STK40,126086176,126089342,-0.0490142910036067,0.0452646040298907,0.1832511986425376,Decreased in Stressed,1547,ENSMMUG00000049494,-0.273592,0.0466679536390812,0.8886127685507895
chr1,129700000,129800000,ENSMMUG00000057102,TNFRSF14,129796120,129819094,-0.054117053392732,0.0452646040298907,0.1832511986425376,Decreased in Stressed,1562,ENSMMUG00000057102,0.5021446,7.87284265340057e-05,0.8886127685507895
chr1,129800000,129900000,ENSMMUG00000057102,TNFRSF14,129796120,129819094,-0.054152106844924,0.0452646040298907,0.1832511986425376,Decreased in Stressed,1562,ENSMMUG00000057102,0.5021446,7.87284265340057e-05,0.8886127685507895
chr1,152100000,152200000,ENSMMUG00000017314,ACSS2,152152055,153035403,-0.0397037969450707,0.0452646040298907,0.1832511986425376,Decreased in Stressed,1724,ENSMMUG00000017314,0.09120506,0.0259652214551352,0.8886127685507895
chr1,152200000,152300000,ENSMMUG00000017314,ACSS2,152152055,153035403,-0.0398010465470205,0.0413890617691391,0.1832511986425376,Decreased in Stressed,1724,ENSMMUG00000017314,0.09120506,0.0259652214551352,0.8886127685507895
chr1,152300000,152400000,ENSMMUG00000017314,ACSS2,152152055,153035403,-0.0399058570373042,0.0413890617691391,0.1832511986425376,Decreased in Stressed,1724,ENSMMUG00000017314,0.09120506,0.0259652214551352,0.8886127685507895
chr1,152400000,152500000,ENSMMUG00000017314,ACSS2,152152055,153035403,-0.0400185429766905,0.0413890617691391,0.1832511986425376,Decreased in Stressed,1724,ENSMMUG00000017314,0.09120506,0.0259652214551352,0.8886127685507895
chr1,152500000,152600000,ENSMMUG00000017314,ACSS2,152152055,153035403,-0.0401393235775674,0.0452646040298907,0.1832511986425376,Decreased in Stressed,1724,ENSMMUG00000017314,0.09120506,0.0259652214551352,0.8886127685507895
chr1,152600000,152700000,ENSMMUG00000017314,ACSS2,152152055,153035403,-0.0402682356044065,0.0452646040298907,0.1832511986425376,Decreased in Stressed,1724,ENSMMUG00000017314,0.09120506,0.0259652214551352,0.8886127685507895
chr1,152700000,152800000,ENSMMUG00000017314,ACSS2,152152055,153035403,-0.0404052303717179,0.0452646040298907,0.1832511986425376,Decreased in Stressed,1724,ENSMMUG00000017314,0.09120506,0.0259652214551352,0.8886127685507895
chr1,152800000,152900000,ENSMMUG00000017314,ACSS2,152152055,153035403,-0.0405501989685929,0.0413890617691391,0.1832511986425376,Decreased in Stressed,1724,ENSMMUG00000017314,0.09120506,0.0259652214551352,0.8886127685507895
