chromosome,region_start,region_end,gene_id,gene_name,gene_start,gene_end,methylation_diff,p_value,q_value,direction,genebody,chrom,start,end,genename
chr1,75700000,75800000,ENSMMUG00000004070,TXNIP,75782973,75826857,0.0245581751615443,0.0371753969838011,0.5981203220194612,Increased in Stressed,ENSMMUG00000004070,chr1,75782973,75826857,TXNIP
chr1,75800000,75900000,ENSMMUG00000004070,TXNIP,75782973,75826857,0.0244258080935098,0.0371753969838011,0.5981203220194612,Increased in Stressed,ENSMMUG00000004070,chr1,75782973,75826857,TXNIP
chr10,14300000,14400000,ENSMMUG00000048761,ISG15,14325531,14344072,-0.0355998538926334,0.0401678780820709,0.730565059339491,Decreased in Stressed,ENSMMUG00000048761,chr10,14325531,14344072,ISG15
chr10,15500000,15600000,ENSMMUG00000014010,PADI1,15512485,15808176,-0.0321304121754209,0.0343748552169241,0.730565059339491,Decreased in Stressed,ENSMMUG00000014010,chr10,15512485,15808176,PADI1
chr10,15600000,15700000,ENSMMUG00000014010,PADI1,15512485,15808176,-0.031740541821812,0.0343748552169241,0.730565059339491,Decreased in Stressed,ENSMMUG00000014010,chr10,15512485,15808176,PADI1
chr10,15700000,15800000,ENSMMUG00000014010,PADI1,15512485,15808176,-0.0313458224987496,0.0343748552169241,0.730565059339491,Decreased in Stressed,ENSMMUG00000014010,chr10,15512485,15808176,PADI1
chr10,15800000,15900000,ENSMMUG00000014010,PADI1,15512485,15808176,-0.0309423134810262,0.0317565928714909,0.730565059339491,Decreased in Stressed,ENSMMUG00000014010,chr10,15512485,15808176,PADI1
chr12,200000,300000,ENSMMUG00000049645,CALCOCO1,206760,210016,0.0450635969247394,0.0467685866914884,0.9469425053494924,Increased in Stressed,ENSMMUG00000049645,chr12,206760,210016,CALCOCO1
chr12,300000,400000,ENSMMUG00000063410,POLR1B,353103,366516,0.0446839244216852,0.0433622188594735,0.9469425053494924,Increased in Stressed,ENSMMUG00000063410,chr12,353103,366516,POLR1B
chr12,400000,500000,ENSMMUG00000021625,SPR,420966,427213,0.0443039522936377,0.0467685866914884,0.9469425053494924,Increased in Stressed,ENSMMUG00000021625,chr12,420966,427213,SPR
chr12,3100000,3200000,ENSMMUG00000063784,SH2D6,3106794,3113637,0.0340092319024084,0.0433622188594735,0.9469425053494924,Increased in Stressed,ENSMMUG00000063784,chr12,3106794,3113637,SH2D6
chr14,23100000,23200000,ENSMMUG00000045787,,23115184,23143392,-0.0360195214022573,0.0249030193506095,0.4646128683839652,Decreased in Stressed,ENSMMUG00000045787,chr14,23115184,23143392,
chr14,23800000,23900000,ENSMMUG00000055635,SULT1C4,23839472,23863465,-0.0384364050537191,0.021080909372252,0.4646128683839652,Decreased in Stressed,ENSMMUG00000055635,chr14,23839472,23863465,SULT1C4
chr15,72800000,72900000,ENSMMUG00000058188,GIPC1,72812609,72857163,-0.033965279365606,0.0071816170868917,0.1840498146454579,Decreased in Stressed,ENSMMUG00000058188,chr15,72812609,72857163,GIPC1
chr19,27300000,27400000,ENSMMUG00000012013,,27396598,27443103,-0.0200498968955693,0.0467685866914884,0.3751499707118371,Decreased in Stressed,ENSMMUG00000012013,chr19,27396598,27443103,
chr19,27400000,27500000,ENSMMUG00000012013,,27396598,27443103,-0.0187508425125781,0.0401678780820709,0.3751499707118371,Decreased in Stressed,ENSMMUG00000012013,chr19,27396598,27443103,
chr19,27400000,27500000,ENSMMUG00000050267,TMEM101,27443123,27447455,-0.0187508425125781,0.0401678780820709,0.3751499707118371,Decreased in Stressed,ENSMMUG00000050267,chr19,27443123,27447455,TMEM101
chr19,41200000,41300000,ENSMMUG00000013374,HOXB6,41221846,41234129,-0.0534314766364643,0.0433622188594735,0.3751499707118371,Decreased in Stressed,ENSMMUG00000013374,chr19,41221846,41234129,HOXB6
