chromosome,region_start,region_end,gene_id,gene_name,gene_start,gene_end,methylation_diff,p_value,q_value,direction
chr1,42000000,42100000,ENSMMUG00000005410,DDT,41950284,42019500,0.0095115896159789,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,42000000,42100000,ENSMMUG00000019515,,42055366,42227348,0.0095115896159789,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,42900000,43000000,ENSMMUG00000053797,SMTN,42924329,42957433,0.0109635675276111,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,42900000,43000000,ENSMMUG00000010474,AGTRAP,42966607,43419173,0.0109635675276111,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,43000000,43100000,ENSMMUG00000010474,AGTRAP,42966607,43419173,0.011124521322261,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,43100000,43200000,ENSMMUG00000010474,AGTRAP,42966607,43419173,0.0112839408099121,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,43300000,43400000,ENSMMUG00000010474,AGTRAP,42966607,43419173,0.0115958272941665,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,43400000,43500000,ENSMMUG00000010474,AGTRAP,42966607,43419173,0.0117469903212887,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,43400000,43500000,ENSMMUG00000054157,ZNF593,43431868,43433414,0.0117469903212887,0.0465701880994234,0.5162305350821093,Increased in Stressed
chr1,130700000,130800000,ENSMMUG00000015922,,130580742,130796477,0.0104354582153278,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,130700000,130800000,ENSMMUG00000054650,TNFRSF9,130796698,130804494,0.0104354582153278,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,130800000,130900000,ENSMMUG00000054650,TNFRSF9,130796698,130804494,0.0104414091954596,0.0411020596927643,0.5162305350821093,Increased in Stressed
chr1,130800000,130900000,ENSMMUG00000016812,MMP9,130877221,130987848,0.0104414091954596,0.0411020596927643,0.5162305350821093,Increased in Stressed
