chrom,start,end,chromatin_state
chr1,248033095,248252532,.
chr1,248033095,248252532,.
chr1,248033095,248252532,.
chr1,247411537,247513270,.
chr1,247411537,247513270,.
chr1,247314672,247411537,.
chr1,247199629,247314672,.
chr1,247199629,247314672,.
chr1,247199629,247314672,.
chr1,247199629,247314672,.
chr1,247199629,247314672,.
chr1,247199629,247314672,.
chr1,247199629,247314672,.
chr1,247199629,247314672,.
chr1,247199629,247314672,.
chr1,247199629,247314672,.
chr1,247106959,247199629,.
chr1,247106959,247199629,.
chr1,246662962,246746114,.
chr1,246662962,246746114,.
chr1,246662962,246746114,.
chr1,246662962,246746114,.
chr1,246071564,246170721,.
chr1,246071564,246170721,.
chr1,245299906,245399404,.
chr1,245299906,245399404,.
chr1,245299906,245399404,.
chr1,245299906,245399404,.
chr1,245299906,245399404,.
chr1,244994461,245090552,.
chr1,244994461,245090552,.
chr1,244994461,245090552,.
chr1,244994461,245090552,.
chr1,244994461,245090552,.
chr1,244994461,245090552,.
chr1,244994461,245090552,.
chr1,244898096,244994461,.
chr1,244801997,244898096,.
chr1,244801997,244898096,.
chr1,244801997,244898096,.
chr1,244710282,244801997,.
chr1,244710282,244801997,.
chr1,244620073,244710282,.
chr1,244620073,244710282,.
chr1,244518400,244620073,.
chr1,244518400,244620073,.
chr1,244518400,244620073,.
chr1,244518400,244620073,.
chr1,244518400,244620073,.
chr1,244518400,244620073,.
chr1,244518400,244620073,.
chr1,244518400,244620073,.
chr1,244415445,244518400,.
chr1,244415445,244518400,.
chr1,244415445,244518400,.
chr1,243626395,243718897,.
chr1,243626395,243718897,.
chr1,243626395,243718897,.
chr1,243626395,243718897,.
chr1,243626395,243718897,.
chr1,243626395,243718897,.
chr1,243626395,243718897,.
chr1,243626395,243718897,.
chr1,243626395,243718897,.
chr1,243335969,243435280,.
chr1,243335969,243435280,.
chr1,243335969,243435280,.
chr1,243335969,243435280,.
chr1,243335969,243435280,.
chr1,243335969,243435280,.
chr1,243335969,243435280,.
chr1,243335969,243435280,.
chr1,243335969,243435280,.
chr1,243235617,243335969,.
chr1,242691728,242795240,.
chr1,186279208,186377187,.
chr1,186279208,186377187,.
chr1,186377187,186475023,.
chr1,186377187,186475023,.
chr1,186760848,186865420,.
chr1,186760848,186865420,.
chr1,190412199,190507048,.
chr1,190412199,190507048,.
chr1,192506742,192605318,.
chr1,192506742,192605318,.
chr1,192506742,192605318,.
chr1,192707893,192804956,.
chr1,192707893,192804956,.
chr1,193004342,193090984,.
chr1,193004342,193090984,.
chr1,193004342,193090984,.
chr1,193090984,193187019,.
chr1,193090984,193187019,.
chr1,193283451,193390103,.
chr1,193283451,193390103,.
chr1,196501498,196601700,.
chr1,196501498,196601700,.
chr1,196501498,196601700,.
chr1,196501498,196601700,.
chr1,197204601,197304198,.
chr1,197883241,197975470,.
chr1,197883241,197975470,.
chr1,197883241,197975470,.
chr1,197883241,197975470,.
chr1,198090902,198191142,.
chr1,198090902,198191142,.
chr1,198090902,198191142,.
chr1,198090902,198191142,.
chr1,198191142,198304867,.
chr1,198191142,198304867,.
chr1,198191142,198304867,.
chr1,198774484,198870810,.
chr1,198870810,198972857,.
chr1,198870810,198972857,.
chr1,198870810,198972857,.
chr1,198870810,198972857,.
chr1,198870810,198972857,.
chr1,198870810,198972857,.
chr1,199966678,200067087,.
chr1,199966678,200067087,.
chr1,199966678,200067087,.
chr1,199966678,200067087,.
chr1,199966678,200067087,.
chr1,200380464,200477733,.
chr1,200766235,200872279,.
chr1,200766235,200872279,.
chr1,200766235,200872279,.
chr1,200766235,200872279,.
chr1,200872279,200971618,.
chr1,200971618,201070919,.
chr1,200971618,201070919,.
chr1,200971618,201070919,.
chr1,200971618,201070919,.
chr1,200971618,201070919,.
chr1,200971618,201070919,.
chr1,201070919,201169531,.
chr1,201070919,201169531,.
chr1,201070919,201169531,.
chr1,201169531,201279335,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201379250,201478854,.
chr1,201478854,201571976,.
chr1,201478854,201571976,.
chr1,201478854,201571976,.
chr1,201478854,201571976,.
chr1,201478854,201571976,.
chr1,201571976,201672759,.
chr1,201571976,201672759,.
chr1,201571976,201672759,.
chr1,201571976,201672759,.
chr1,201672759,201775833,.
chr1,201672759,201775833,.
chr1,201672759,201775833,.
chr2,186592498,186694861,.
chr2,187264578,187362060,.
chr2,187264578,187362060,.
chr2,187264578,187362060,.
chr2,187362060,187461409,.
chr2,187362060,187461409,.
chr2,187362060,187461409,.
chr2,187362060,187461409,.
chr2,187461409,187547290,.
chr2,187461409,187547290,.
chr2,187764289,187862643,.
chr2,187862643,187957050,.
chr2,187862643,187957050,.
chr2,187862643,187957050,.
chr2,188135176,188239809,.
chr2,188135176,188239809,.
chr2,188135176,188239809,.
chr2,188135176,188239809,.
chr2,188239809,188334430,.
chr2,188239809,188334430,.
chr2,188239809,188334430,.
chr2,188239809,188334430,.
chr2,188239809,188334430,.
chr2,188239809,188334430,.
chr2,188334430,188435569,.
chr2,188334430,188435569,.
chr2,188334430,188435569,.
chr2,188334430,188435569,.
chr2,188334430,188435569,.
chr2,188334430,188435569,.
chr2,188334430,188435569,.
chr2,188334430,188435569,.
chr2,188435569,188536545,.
chr2,188435569,188536545,.
chr2,188435569,188536545,.
chr2,188435569,188536545,.
chr2,188435569,188536545,.
chr2,189064629,189157224,.
chr2,189157224,189261202,.
chr2,189157224,189261202,.
chr2,189157224,189261202,.
chr2,189157224,189261202,.
chr2,189261202,189358697,.
chr2,189261202,189358697,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
chr2,58006446,189919707,.
